ID	Sex	Name	Father No.	Mother No.	id_from_page	name	father_id	mother_id	Different
8	2	DIE UNBEKANNTE	0	0	80	NA	NA	NA	TRUE
16	2	PLAVIA (Musche)	0	0	160	Plavia	NA	NA	TRUE
19	1	BEGAS (Franz)	15	16	190	Begas	150	160	TRUE
20	2	BEATRICE (Sarah)	15	16	200	Beatrice	150	160	TRUE
21	2	BERMUDA (LISBETH)	15	16	210	Bermuda	150	160	TRUE
26	1	BELA (Fritz)	19	21	260	Bela	190	210	TRUE
30	1	PLINIUS (Matyi)	27	28	300	Plinius	270	280	TRUE
32	1	PLUTARCH (Sabor)	0	0	320	Plutarch	NA	NA	TRUE
33	2	PLAGE (Rahel)	0	0	330	Plage	NA	NA	TRUE
35	2	PLEWNA (Frigga	32	33	350	Plewna	320	330	TRUE
36	2	PLEJADE (Freia)	32	33	360	Plejade	320	330	TRUE
37	2	PLANKE (Hella)	32	33	370	Planke	320	330	TRUE
38	1	PLÜSKOW (Germar)	32	33	380	Plüskow	320	330	TRUE
42	2	PLANTA (Fricka)	0	0	420	Planta	NA	NA	TRUE
45	1	PLEBEJER (Wodan)	0	0	450	Plebejer	NA	NA	TRUE
46	2	PLACIDA (Silesia)	0	0	460	Placida	NA	NA	TRUE
47	1	PLATON (Thor)	0	0	470	Platon	NA	NA	TRUE
48	1	PLUNDER (Tyr)	45	42	480	Plunder	450	420	TRUE
49	2	PLAKETTE (Gerda)	45	42	490	Plakette	450	420	TRUE
55	1	BIM (Wańka)	50	51	550	Bim	500	510	TRUE
65	1	PETER (Waśka)	0	0	650	Peter	NA	NA	TRUE
66	1	GARAVAN (Loki)	0	0	660	Garavan	NA	NA	TRUE
87	1	BILL (Tor)	85	86	870	Bill	850	860	TRUE
101	1	HAGENROSE	100	95	1010	Hagen	1000	950	TRUE
119	1	SCHALL	101	46	1190	Schalk	1010	460	TRUE
145	2	BERESINA (Sonja)	19	16	1450	Beresina	190	160	TRUE
146	1	BERNSTEIN (Iwan)	19	21	1460	Bernstein	190	210	TRUE
147	1	BISMARCK (Scheich)	126	125	1470	Bismarck	1260	1250	TRUE
158	1	PLATEN (Tyr)	45	42	1580	Platen	450	420	TRUE
173	2	PLATANE (Brunhilde)	45	49	1730	Platane	450	490	TRUE
174	1	BEELZEBUB (Bogislaw)	146	145	1740	Beelzebub	1460	1450	TRUE
187	2	PLASTIK (Kriemhilde)	45	49	1870	Plastik	450	490	TRUE
188	2	STORMFLOD (Maja)	156	90	1880	Stormflod	1560	900	TRUE
201	2	BESSY (Beatrice)	19	20	2010	Bessy	190	200	TRUE
206	1	PLECOTUS (Hagen)	45	49	2060	Plecotus	450	490	TRUE
212	1	STOJARE (Jarl II)	156	89	2120	Stojare	1560	890	TRUE
214	2	WOOPIGEON	142	178	2140	Woodpigeon	1420	1780	TRUE
219	2	PLANARIE (Gudrun)	45	49	2190	Planarie	450	490	TRUE
220	2	PLÖTZE (Fricka II)	45	173	2200	Plötze	450	1730	TRUE
222	1	BOGHESE	117	172	2220	Borghese	1170	1720	TRUE
245	1	PLANORBIS (Gernot)	195	49	2450	Planorbis	1950	490	TRUE
255	2	PLIETE(Uté)	195	187	2550	Pliete	1950	1870	TRUE
256	2	PLEINZE (Freya	195	49	2560	Pleinze	1950	490	TRUE
260	2	ARTEMIS (Hennie)	111	20	2600	Artemis	1110	200	TRUE
483	1	BENTHEM	237	201	4830	Bentheim	2370	2010	TRUE
487	1	PLEUCIUCH	195	219	4870	Pleciuch	1950	2190	TRUE
488	1	ARSENE (Willem II)	192	218	4880	Arsene	1920	2180	TRUE
495	1	SPUNGHASE	146	106	4950	Sprunghase	1460	1060	TRUE
501	2	PUŽANKA	163	93	5010	Pużanka	1630	930	TRUE
505	1	PLEŠNIK	195	49	5050	Pleśnik	1950	490	TRUE
514	0	NA	0	0	5140	Belt	2370	1450	TRUE
523	1	PLAUGUST (August)	195	255	5230	Plaugust	1950	2550	TRUE
529	2	SPINGFLUT	146	106	5290	Springflut	1460	1060	TRUE
530	2	BERGA-MOTTE	237	231	5300	Bergamotte	2370	2310	TRUE
541	2	PURGA (Buja)	163	247	5410	Purga	1630	2470	TRUE
542	1	PUZON (Pamir)	229	257	5420	Puzon	2290	2570	TRUE
543	1	PUF (Planer)	229	242	5430	Puf	2290	2420	TRUE
544	1	BERTRAMA	229	93	5440	Połdień	2290	930	TRUE
549	1	AVONIS (Adonis)	244	261	5490	Avonis	2440	2610	TRUE
550	1	AVKE (Acke)	244	262	5500	Avke	2440	2620	TRUE
551	1	AVLE (Arle)	156	259	5510	Avle	1560	2590	TRUE
554	1	BETRAM	237	145	5540	Bertram	2370	1450	TRUE
572	1	POLAMANIEC (Pugar)	229	93	5720	Połamaniec	2290	930	TRUE
573	2	PUNARNA (Ponarna)	163	242	5730	Punarna	1630	2420	TRUE
576	1	PLINIUS II	230	49	5760	Plinius	2300	490	TRUE
579	1	AVIUS (Argus)	244	262	5790	Avius	2440	2620	TRUE
596	2	PUTKA (Alraune)	229	500	5960	Putka	2290	5000	TRUE
597	1	PUNKT (Ariovist)	229	501	5970	Punkt	2290	5010	TRUE
599	1	PUG (Anker)	229	257	5990	Pug	2290	2570	TRUE
600	1	PUGINAL (Adjutant)	229	247	6000	Puginał	2290	2470	TRUE
610	2	AVNE (Agoe II)	244	262	6100	Avne	2440	2620	TRUE
625	1	PURKUL (Buzio)	229	517	6250	Purkuł	2290	5170	TRUE
